name,segment,gene_id,mean,std,size,count,percentage
ERR4458886,NC_045512.2,SARS-CoV2,100.24643012406781,91.67788188198213,29903,4271.0,0.1428284787479517
ERR4458887,NC_045512.2,SARS-CoV2,407.65869645186103,359.2606830709996,29903,20544.0,0.687021369093402
ERR4458888,NC_045512.2,SARS-CoV2,661.810687890847,486.45462293074854,29903,26293.0,0.8792763267899542
ERR4458889,NC_045512.2,SARS-CoV2,477.1703173594623,359.1208560228841,29903,22990.0,0.7688191820218707
ERR4458890,NC_045512.2,SARS-CoV2,93.67652075042638,75.30006679746262,29903,3175.0,0.1061766377955389
ERR4458891,NC_045512.2,SARS-CoV2,46.14346386650169,60.64913565481056,29903,1286.0,0.043005718489783636
ERR4458892,NC_045512.2,SARS-CoV2,484.03100023409024,375.77376788330344,29903,23191.0,0.7755409156271946
ERR4458893,NC_045512.2,SARS-CoV2,658.4416948132294,481.96015804564087,29903,26443.0,0.8842925458984049
ERR4458894,NC_045512.2,SARS-CoV2,459.6579607397251,416.3690822841878,29903,20694.0,0.6920375882018527
ERR4458895,NC_045512.2,SARS-CoV2,85.79446878239642,93.76589590431088,29903,2945.0,0.0984851018292479
ERR4458896,NC_045512.2,SARS-CoV2,317.35488078119255,310.0824453836324,29903,16181.0,0.5411162759589339
ERR4458897,NC_045512.2,SARS-CoV2,94.17713941744975,101.94882406381649,29903,4040.0,0.1351035013209377
ERR4458898,NC_045512.2,SARS-CoV2,108.13774537671806,125.0589664445585,29903,5346.0,0.1787780490251814
ERR4458899,NC_045512.2,SARS-CoV2,26.3192321840618,37.36443250363918,29903,258.0,0.00862789686653513
ERR4458900,NC_045512.2,SARS-CoV2,309.5455974316958,375.0374752004906,29903,14062.0,0.4702538206868876
ERR4458901,NC_045512.2,SARS-CoV2,414.86586630104006,354.8852809066115,29903,20887.0,0.6984917901213925
ERR4458902,NC_045512.2,SARS-CoV2,166.70507975788382,168.23214650197096,29903,9570.0,0.3200347791191519
ERR4458903,NC_045512.2,SARS-CoV2,64.14787813931713,81.14372266709611,29903,2034.0,0.06801993111059092
ERR4458904,NC_045512.2,SARS-CoV2,340.047085576698,327.32100654420594,29903,17658.0,0.5905093134468113
ERR4458905,NC_045512.2,SARS-CoV2,108.24950673845433,94.17181706520978,29903,4788.0,0.16011771394174498
ERR4458906,NC_045512.2,SARS-CoV2,540.3419723773534,410.53616851075367,29903,24109.0,0.8062401765709126
ERR4458907,NC_045512.2,SARS-CoV2,931.0503962813095,727.4513605799751,29903,26180.0,0.8754974417282547
ERR4458908,NC_045512.2,SARS-CoV2,577.1648998428251,437.4380524811566,29903,25079.0,0.8386783934722268
ERR4458909,NC_045512.2,SARS-CoV2,639.2662609102765,522.7500348070106,29903,24606.0,0.8228605825502457
ERR4458910,NC_045512.2,SARS-CoV2,86.52506437481189,62.81100134782715,29903,1800.0,0.060194629301407884
ERR4458911,NC_045512.2,SARS-CoV2,606.1360064207605,413.94492431957497,29903,26110.0,0.8731565394776444
ERR4458912,NC_045512.2,SARS-CoV2,255.34461425275057,255.1437696268324,29903,14157.0,0.473430759455573
ERR4458913,NC_045512.2,SARS-CoV2,665.5054342373675,613.8237489473819,29903,22681.0,0.7584857706584623
ERR4458914,NC_045512.2,SARS-CoV2,202.50249138882387,202.712944849717,29903,11462.0,0.3833060228070762
ERR4458915,NC_045512.2,SARS-CoV2,331.3914991806842,305.91034992044894,29903,17819.0,0.5958933886232151
ERR4458916,NC_045512.2,SARS-CoV2,91.2814433334448,78.70154016929145,29903,3177.0,0.10624352071698492
ERR4458917,NC_045512.2,SARS-CoV2,99.79935123566197,70.1498315503642,29903,2865.0,0.09580978497140755
ERR4458918,NC_045512.2,SARS-CoV2,396.99033541785104,376.84186017434087,29903,19194.0,0.6418753971173461
ERR4458919,NC_045512.2,SARS-CoV2,211.1032337892519,219.7146018460624,29903,11358.0,0.37982811089188373
ERR4458920,NC_045512.2,SARS-CoV2,469.9721767046785,420.29197759021633,29903,20959.0,0.7008995752934488
ERR4458921,NC_045512.2,SARS-CoV2,686.6417081898137,427.2445634186853,29903,28311.0,0.946761194528977
ERR4458922,NC_045512.2,SARS-CoV2,270.4916563555496,255.31754571415019,29903,15124.0,0.5057686519747182
ERR4458923,NC_045512.2,SARS-CoV2,675.7288566364579,466.62184805900523,29903,27226.0,0.9104772096445173
ERR4458924,NC_045512.2,SARS-CoV2,123.07347088920844,96.59669973306367,29903,5878.0,0.19656890612981975
ERR4458925,NC_045512.2,SARS-CoV2,318.6108082801057,248.50410600736478,29903,18408.0,0.6155904089890647
ERR4458926,NC_045512.2,SARS-CoV2,273.59244891816877,284.0810731507809,29903,14706.0,0.49179012139250244
ERR4458927,NC_045512.2,SARS-CoV2,409.11811523927366,414.7493326372552,29903,18243.0,0.6100725679697689
ERR4458928,NC_045512.2,SARS-CoV2,486.74360432063673,392.09492760363935,29903,22612.0,0.756178309868575
ERR4458929,NC_045512.2,SARS-CoV2,513.3232117178878,446.8023605353187,29903,22483.0,0.7518643614353075
ERR4458930,NC_045512.2,SARS-CoV2,570.618366050229,390.585599222702,29903,25912.0,0.8665351302544895
ERR4458931,NC_045512.2,SARS-CoV2,321.2365983346153,308.12357654205596,29903,16732.0,0.5595425208173093
ERR4458932,NC_045512.2,SARS-CoV2,660.8931879744507,390.72211841994084,29903,27762.0,0.9284018325920477
ERR4458933,NC_045512.2,SARS-CoV2,647.0079925091128,635.827382712985,29903,21999.0,0.7356786944453734
ERR4458934,NC_045512.2,SARS-CoV2,656.3908972343912,534.3808440515733,29903,25357.0,0.8479751195532221
ERR4458935,NC_045512.2,SARS-CoV2,213.81911513894926,214.0591572617977,29903,12459.0,0.41664715914791156
ERR4458936,NC_045512.2,SARS-CoV2,57.03497976791626,75.08433075999237,29903,1997.0,0.06678259706383975
ERR4458937,NC_045512.2,SARS-CoV2,104.6463231113935,74.70639060198995,29903,3446.0,0.1152392736514731
ERR4458938,NC_045512.2,SARS-CoV2,412.0236431127312,359.8326829298746,29903,20458.0,0.6841454034712237
ERR4458939,NC_045512.2,SARS-CoV2,311.1429622445908,312.9385990563635,29903,16761.0,0.5605123231782764
ERR4458940,NC_045512.2,SARS-CoV2,562.5289770257165,402.79217466607196,29903,25379.0,0.8487108316891282
ERR4458941,NC_045512.2,SARS-CoV2,464.5359662910076,359.0547883210334,29903,23376.0,0.7817275858609504
ERR4458942,NC_045512.2,SARS-CoV2,583.8955288767013,438.14728428613773,29903,25625.0,0.8569374310269873
ERR4458943,NC_045512.2,SARS-CoV2,218.16215764304584,248.4293832747419,29903,11620.0,0.3885897736013109
ERR4458944,NC_045512.2,SARS-CoV2,405.49125505802095,361.6619484744784,29903,20020.0,0.6694980436745477
ERR4458945,NC_045512.2,SARS-CoV2,857.353141825235,822.5954677029689,29903,24471.0,0.8183459853526402
ERR4458946,NC_045512.2,SARS-CoV2,559.5100157174866,476.95983856559286,29903,22557.0,0.7543390295288098
ERR4458947,NC_045512.2,SARS-CoV2,577.0150152158647,454.2254354902916,29903,25060.0,0.8380430057184898
ERR4458948,NC_045512.2,SARS-CoV2,93.44256429120824,82.78896471282378,29903,3437.0,0.11493830050496606
ERR4458949,NC_045512.2,SARS-CoV2,83.76534127010667,57.641292845349035,29903,1448.0,0.048423235126910345
ERR4458950,NC_045512.2,SARS-CoV2,306.8298832893021,284.0796271354528,29903,17468.0,0.5841554359094405
ERR4458951,NC_045512.2,SARS-CoV2,193.39798682406447,206.271339857007,29903,11089.0,0.37083235795739555
ERR4458952,NC_045512.2,SARS-CoV2,489.54997826305055,421.7134126748342,29903,21565.0,0.7211651004915894
ERR4458953,NC_045512.2,SARS-CoV2,434.764338026285,374.4764450029105,29903,21727.0,0.7265826171287162
ERR4458954,NC_045512.2,SARS-CoV2,1124.2747550413003,908.7514792875808,29903,27782.0,0.9290706618065077
